Gene	Type	# condition specific	# condition up	# condition down	Condition up	Condition down	Gene_page
Mtr.10126.1.S1_at	S	34	34	0	Nod_zone2,RT_DeNod_28dpi,Nod_4dpi,Nod_10dpi,Nod_14dpi,Nod_28dpi,Nod_16dpi_NO3,Nod_6dpi,Nod_14dpi_C,Nod_10dpi_C,Nod_20dpi,RT_LCM_cortical,Nod_Naut1_SalsC,Nod_Naut1_SalsB,Nod_Sals4_SalsB,Nod_Sals4_SalsC,A17_LimN,Root_A17_5d_seedling_3dpi_Sinorhizobium,Nodule_A17_6dpi,Nodule_efd_6dpi,Nodule_ya1_hap2_6dpi,Nod_R108,NOOT_NF2717,NOOT_TNK507,RT_Nod_5WKS_SuffN2_N2S,RT_Nod_5WKS_LimtN2_N2C,Nodule_20d,Nod_phosphinothricin_0h,Nod_phosphinothricin_4h,Nod_phosphinothricin_8h,Nod_phosphinothricin_24h,Nodule_20d_4h_PPT,Nodule_20d_8h_PPT,Nodule_20d_24h_PPT	-	NA
Mtr.10303.1.S1_at	S	4	0	4	-	Nod_Naut1_SalsC,Nod_Naut1_SalsB,Nod_Sals4_SalsB,Nod_Sals4_SalsC	NA
Mtr.10315.1.S1_at	S	4	0	4	-	Nod_Naut1_SalsC,Nod_Naut1_SalsB,Nod_Sals4_SalsB,Nod_Sals4_SalsC	NA
Mtr.10361.1.S1_at	S	8	0	8	-	Nod_Naut1_SalsC,Nod_Naut1_SalsB,Nod_Sals4_SalsB,Nod_Sals4_SalsC,Nod_phosphinothricin_8h,Nod_phosphinothricin_24h,Nodule_20d_8h_PPT,Nodule_20d_24h_PPT	NA
Mtr.10449.1.S1_at	S	8	0	8	-	Nod_Naut1_SalsC,Nod_Naut1_SalsB,Nod_Sals4_SalsB,Nod_Sals4_SalsC,RT_R108,Nod_R108,NOOT_NF2717,NOOT_TNK507	NA
Mtr.10586.1.S1_at	S	8	0	8	-	Nod_Naut1_SalsC,Nod_Naut1_SalsB,Nod_Sals4_SalsB,Nod_Sals4_SalsC,RT_R108,Nod_R108,NOOT_NF2717,NOOT_TNK507	NA
Mtr.10590.1.S1_at	S	7	0	7	-	RT_Tip_F83005_5_0hpi,RT_Tip_F83005_5_12hpi,RT_Tip_F83005_5_72hpi,RT_R108,Nod_R108,NOOT_NF2717,NOOT_TNK507	NA
Mtr.10655.1.S1_at	S	4	0	4	-	Nod_Naut1_SalsC,Nod_Naut1_SalsB,Nod_Sals4_SalsB,Nod_Sals4_SalsC	NA
Mtr.11124.1.S1_at	S	5	0	5	-	Nod_Naut1_SalsC,Nod_Naut1_SalsB,Nod_Sals4_SalsB,Nod_Sals4_SalsC,NOOT_NF2717	NA
Mtr.11558.1.S1_at	S	5	0	5	-	Nod_zone2,Nod_Naut1_SalsC,Nod_Naut1_SalsB,Nod_Sals4_SalsB,Nod_Sals4_SalsC	NA
Mtr.11840.1.S1_at	S	1	0	1	-	RT_LCM_arbuscular	NA
Mtr.11848.1.S1_at	S	38	38	0	RT_Myc_3wks_infection,GiantCell,GallTissue_GiantCell,Nod_zone2,RT_DeNod_28dpi,Nod_10dpi,Nod_14dpi,Nod_28dpi,Nod_16dpi_NO3,Root_meristem,Root_14dpi_control,Nod_6dpi,Nod_14dpi_C,Nod_10dpi_C,Nod_20dpi,RT_LCM_cortical,RT_LCM_adjacent,Nod_Naut1_SalsC,Nod_Naut1_SalsB,Nod_Sals4_SalsB,Nod_Sals4_SalsC,Nodule_A17_6dpi,Nodule_efd_6dpi,Nodule_ya1_hap2_6dpi,Nod_R108,NOOT_NF2717,NOOT_TNK507,RT_Nod_5WKS_SuffN2_N2S,RT_Nod_5WKS_LimtN2_N2C,Nodule_20d,Nod_phosphinothricin_0h,Nod_phosphinothricin_4h,Nod_phosphinothricin_8h,Nod_phosphinothricin_24h,Nodule_20d_4h_PPT,Nodule_20d_8h_PPT,Nodule_20d_24h_PPT,RT_watered_d2	-	NA
Mtr.11988.1.S1_at	S	1	1	0	GiantCell	-	NA
Mtr.12216.1.S1_at	S	4	0	4	-	Nod_Naut1_SalsC,Nod_Naut1_SalsB,Nod_Sals4_SalsB,Nod_Sals4_SalsC	NA
Mtr.12262.1.S1_at	S	4	0	4	-	Nod_Naut1_SalsC,Nod_Naut1_SalsB,Nod_Sals4_SalsB,Nod_Sals4_SalsC	NA
Mtr.12270.1.S1_at	S	1	1	0	RT_LCM_arbuscular	-	NA
Mtr.12358.1.S1_at	S	21	21	0	RT_Tip_sickle_0hpi,RT_LCM_adjacent,Root_non_Myc_control_6wk_20_uM_P,Root_non_Myc_6wk_2_mM_P,Root_28dpi_Myc_G_intraradices_6wk_20_uM_P,RT_2ds_Sdl_culture_180mM_NaCl_6h,RT_2wks_Sdl_Hydroponic_200mM_NaCl_1h,RT_2wks_Sdl_Hydroponic_200mM_NaCl_2h,RT_2wks_Sdl_Hydroponic_200mM_NaCl_5h,RT_2wks_Sdl_Hydroponic_200mM_NaCl_10h,RT_2wks_Sdl_Hydroponic_200mM_NaCl_24h,RT_Whole,RT_BC,RT_drought_2d,RT_drought_3d,RT_drought_4d,RT_drought_7d,RT_drought_10d,RT_drought_14d,RT_drought_14d_rewatered_1d,RT_watered_4d	-	NA
Mtr.12570.1.S1_at	S	34	34	0	RT_Myc_3wks_infection,Nod_zone2,RT_DeNod_28dpi,Nod_4dpi,Nod_10dpi,Nod_14dpi,Nod_28dpi,Nod_16dpi_NO3,Root_meristem,Root_14dpi_control,Nod_6dpi,Nod_14dpi_C,Nod_10dpi_C,Nod_20dpi,Nod_Naut1_SalsC,Nod_Naut1_SalsB,Nod_Sals4_SalsB,Nod_Sals4_SalsC,Nodule_A17_6dpi,Nodule_efd_6dpi,Nodule_ya1_hap2_6dpi,Nod_R108,NOOT_NF2717,NOOT_TNK507,RT_Nod_5WKS_SuffN2_N2S,RT_Nod_5WKS_LimtN2_N2C,Nodule_20d,Nod_phosphinothricin_0h,Nod_phosphinothricin_4h,Nod_phosphinothricin_8h,Nod_phosphinothricin_24h,Nodule_20d_4h_PPT,Nodule_20d_8h_PPT,Nodule_20d_24h_PPT	-	NA
Mtr.12572.1.S1_at	S	14	4	10	RT_drought_4d,RT_drought_7d,RT_drought_10d,RT_drought_14d	RT_Myc_3wks_infection,GiantCell,Nod_zone2,RT_LCM_arbuscular,RT_LCM_cortical,RT_LCM_adjacent,Nod_Naut1_SalsC,Nod_Naut1_SalsB,Nod_Sals4_SalsB,Nod_Sals4_SalsC	NA
